Game,Price,Paid,Savings,Compatibility,
Art of Rally,€20.99,€13.64,€7.35,,
Biomutant,€59.99,€29.99,€30.00,,
Bugsnax,€21.99,€16.49,€5.50,,
Can't Drive This,€24.99,€16.24,€8.75,,
Chicory: A Colorful Tale,€19.99,€13.99,€6.00,,
ClusterTruck,€14.99,€4.49,€10.50,,
Enter The Gungeon,€14.99,€7.49,€7.50,,
Exit the Gungeon,€9.99,€6.99,€3.00,,
Final Fantasy VII Remake: Intergrade,€79.99,€45.59,€34.40,,
Ghostbusters,€29.99,€7.99,€22.00,,
Harvest Moon: A Wonderful Life,€14.99,€4.99,€10.00,,
Hotline Miami 2: Wrong Number,€14.99,€3.59,€11.40,PS3 and VITA,
Hue,€14.99,€4.99,€10.00,VITA,
Human Fall Flat,€14.99,€9.99,€5.00,,
Just Die Already,€13.99,€6.29,€7.70,,
Keep Talking and Nobody Explodes,€14.99,€7.49,€7.50,VR,
Little Nightmares,€19.99,€0.00,€19.99,,
Mass Effect: Legendary Edition,€69.99,€44.79,€25.20,,
Neon Chrome,€14.99,€4.49,€10.50,VITA,
Neon Drive,€9.99,€4.99,€5.00,,
Nickelodeon All-Star Brawl,€49.99,€0.00,€49.99,,
Please Don't Touch Anything,€9.99,€4.99,€5.00,,
Rustler,€29.99,€14.99,€15.00,,
Saban's Mighty Morphin Power Rangers: Mega Battle,€19.99,€3.99,€16.00,,
Scott Pilgrim vs The World: The Game,€14.99,€8.99,€6.00,,
Scribblenauts Mega Pack,€29.99,€9.99,€20.00,,
Shovel Knight: Treasure Trove,€24.99,€24.99,€0.00,PS3 and VITA,
Spelunky,€14.99,€0.00,€14.99,PS3 and VITA,
Stardew Valley,€14.99,€7.99,€7.00,VITA,
Subnautica: Below Zero,€29.99,€19.49,€10.50,,
Super Monkey Ball: Banana Blitz HD,€39.99,€19.99,€20.00,,
The Escapists,€17.99,€6.99,€11.00,,
The Pedestrian,€15.99,€10.39,€5.60,,
The Stanley Parable: Ultra Deluxe,€21.99,€14.73,€7.26,,
Think of the Children,€12.99,€2.59,€10.40,,
while true: learn( ),€14.99,€9.74,€5.25,,
101 Ways To Die,€9.99,€4.99,€5.00,,
[Prototype],€24.99,€7.99,€17.00,,
[Prototype 2],€24.99,€7.99,€17.00,,
A Boy And His Blob,€9.99,€3.99,€6.00,PS3 and VITA,
A Plague Tale: Innocence,€51.98,€16.98,€35.00,,
Absolute Drift: Zen Edition,€11.99,€7.99,€4.00,,
Abzû,€19.99,€0.00,€19.99,,
Active Soccer 2 DX,€9.99,€6.99,€3.00,VITA,
Amnesia: Collection,€28.49,€3.13,€25.36,,
Amplitude,€19.99,€9.99,€10.00,,
Another World,€7.99,€2.99,€5.00,PS3 and VITA,
Ape Escape 2,€9.99,€3.99,€6.00,,
Ark: Survival Evolved,€29.99,€0.00,€29.99,,
Armello,€19.99,€7.99,€12.00,,
Armikrog,€9.99,€1.99,€8.00,,
Art Of Balance,€8.99,€2.99,€6.00,,
Assassin's Creed Valhalla: Ultimate Edition,€119.99,€59.99,€60.00,,
Assault Android Cactus,€14.49,€3.99,€10.50,,
Astro's Playroom,€0.00,€0.00,€0.00,,
Aven Colony,€29.99,€14.99,€15.00,,
AWAY: The Survival Series,€29.99,€0.00,€29.99,,
Back To The Future TTG,€12.98,€12.98,€0.00,PS3,
Badland,€11.99,€4.99,€7.00,PS3 and VITA,
Batman Season 1 TTG,€19.99,€19.99,€0.00,,
Batman Season 2 TTG,€14.99,€14.99,€0.00,,
Batman: Arkham Asylum,€19.99,€7.99,€12.00,,
Batman: Arkham City,€19.99,€7.99,€12.00,,
Batman: Arkham Knight,€19.99,€7.99,€12.00,,
Battlefield 1: Revolution,€19.99,€0.00,€19.99,,
Bear With Me,€14.99,€7.49,€7.50,,
Beat Cop,€14.99,€1.49,€13.50,,
Beyond Eyes,€12.99,€3.99,€9.00,,
Beyond Two Souls,€19.99,€5.99,€14.00,,
BioShock 1 & 2: The Collection,€24.99,€9.99,€15.00,,
BioShock Infinite: The Collection,€24.99,€9.99,€15.00,,
BLACKSAD: Under the Skin,€39.99,€7.99,€32.00,,
Bloodborne,€34.99,€18.24,€16.75,,
Blood Bowl 2,€19.99,€7.49,€12.50,,
Bloodrayne: ReVamped,€19.99,€13.99,€6.00,,
Bloodrayne 2: ReVamped,€19.99,€13.99,€6.00,,
Borderlands: The Handsome Collection,€109.98,€62.98,€47.00,VR,
Borderlands: Game of the Year Edition,€29.99,€29.99,€0.00,,
Borderlands 3,€114.98,€114.98,€0.00,,
Bridge Constructor,€9.99,€3.99,€6.00,VITA,
Broforce,€14.99,€4.99,€10.00,,
Broken Age,€14.99,€6.99,€8.00,VITA,
Brothers: A Tale of Two Sons,€19.99,€4.99,€15.00,,
Bully,€23.98,€15.98,€8.00,PS3,
Burnout Paradise: Remastered,€39.98,€9.99,€29.99,PS3,
Call of Duty: Black Ops III,€69.99,€0.00,€69.99,,
Captain Tsubasa: Rise of New Champions,€59.99,€19.79,€40.20,,
Castle Crashers: Remastered,€30.98,€30.98,€0.00,PS3,
Castlevania Requiem: Symphony of the Night and Rondo of Blood,€29.98,€8.99,€20.99,PS3,
Catherine: Full Body,€79.98,€79.98,€0.00,PS3,
Cel Damage HD,€13.98,€7.98,€6.00,PS3,
Celeste,€19.99,€11.99,€8.00,,
Chicken Police: Paint It Red,€19.99,€13.99,€6.00,,
Child Of Light,€14.99,€4.99,€10.00,PS3,
Chime Sharp,€9.99,€2.99,€7.00,,
Cities: Skylines,€139.98,€84.98,€55.00,,
Claire,€16.99,€4.99,€12.00,VITA,
Cloudpunk,€24.99,€17.49,€7.50,,
Color Slayer,€1.99,€1.99,€0.00,VITA,
Concept Destruction,€4.99,€3.24,€1.75,,
Concrete Genie,€29.99,€23.99,€6.00,VR,
Cosmophony,€4.99,€1.99,€3.00,PS3 and VITA,
CounterSpy,€12.99,€3.99,€9.00,PS3 and VITA,
Crash Bandicoot N Sane Trilogy,€39.99,€39.99,€0.00,,
Crash Bandicoot 4: It's About Time,€69.99,€0.00,€69.99,,
Crash Team Racing: Nitro Fueled,€59.99,€59.99,€0.00,,
Croixleur Sigma,€13.99,€4.99,€9.00,VITA,
Curse of the Dead Gods,€19.99,€0.00,€19.99,,
Cyberpunk 2077,€49.99,€33.49,€16.50,,
Danger Zone,€10.99,€2.99,€8.00,,
Dangerous Driving,€29.99,€7.49,€22.50,,
Dangerous Golf,€7.99,€2.99,€5.00,,
Dark Chronicle,€14.99,€14.99,€0.00,,
Dark Cloud,€14.99,€8.99,€6.00,,
Dark Souls II: Scholar of the First Sin,€19.99,€9.99,€10.00,,
Dark Souls III,€49.99,€11.99,€38.00,,
Dark Souls Remastered,€39.99,€14.79,€25.20,,
Day Of The Tentacle Remastered,€14.99,€4.74,€10.25,VITA,
Days Gone,€69.99,€0.00,€69.99,,
Dead End Job,€14.99,€2.99,€12.00,,
Dead Island: Retro Revenge,€4.99,€2.99,€2.00,,
Dead or Alive 5: Last Round,€59.98,€33.98,€26.00,PS3 and VITA,
Dead Rising,€19.99,€4.99,€15.00,,
Deadpool,€39.99,€19.99,€20.00,,
Death Squared,€13.99,€6.99,€7.00,,
DEEEER Simulator,€16.99,€13.59,€3.40,,
Deep Rock Galactic,€29.99,€0.00,€29.99,,
Destiny 2,€0.00,€0.00,€0.00,,
Destroy All Humans!,€19.99,€7.99,€12.00,,
Destroy All Humans! Remake,€39.99,€31.99,€8.00,,
Destroy All Humans! 2,€19.99,€7.99,€12.00,,
Detroit: Become Human,€29.99,€0.00,€29.99,,
Devil May Cry Trilogy HD Collection,€21.99,€10.99,€11.00,,
Devil May Cry 4,€22.99,€10.99,€12.00,,
Devil May Cry 5,€49.99,€44.99,€5.00,,
Dex,€19.99,€9.99,€10.00,VITA,
DIRT 5,€69.99,€0.00,€69.99,,
Disney Classic Games: Aladdin & The Lion King,€34.99,€34.99,€0.00,,
Doki-Doki Universe,€7.49,€1.99,€5.50,PS3 and VITA,
Donut County,€12.99,€6.49,€6.50,,
Doom (1993),€4.99,€2.49,€2.50,,
Doom II,€4.99,€2.49,€2.50,,
Doom 64,€4.99,€2.49,€2.50,,
Downwell,€4.99,€1.99,€3.00,VITA,
DreamBall,€5.99,€5.99,€0.00,,
Dreams,€39.99,€29.99,€10.00,,
Duke Nukem 3D,€22.98,€8.98,€14.00,PS3 and VITA,
Entwined,€7.99,€1.99,€6.00,PS3 and VITA,
Escape Plan,€19.99,€19.99,€0.00,PS3 and VITA,
Everybody's Golf,€75.93,€55.93,€20.00,,
Evil Inside,€12.99,€9.09,€3.90,,
F1 2021,€69.99,€0.00,€69.99,,
Fahrenheit,€13.49,€5.39,€8.10,,
Fall Guys: Ultimate Knockout,€19.99,€0.00,€19.99,,
Fallout 4,€19.99,€12.99,€7.00,,
Far Cry 3,€29.99,€17.99,€12.00,,
Far Cry 4,€24.99,€7.99,€17.00,,
Far Cry 5,€99.98,€49.98,€50.00,,
Far Cry 6: Gold Edition,€99.99,€59.99,€40.00,,
Far Cry: New Dawn,€54.99,€27.49,€27.50,,
Far Cry: Primal,€24.99,€7.99,€17.00,,
Fat Princess Adventures,€19.99,€9.99,€10.00,,
Fez,€9.99,€1.99,€8.00,PS3 and VITA,
FIFA 18,€69.99,€69.99,€0.00,,
FIFA 19,€69.99,€39.89,€30.10,,
FIFA 20,€69.99,€27.99,€42.00,,
FIFA 21,€89.99,€24.29,€65.70,,
FIFA 22,€79.99,€0.00,€79.99,,
Final Fantasy X/X-2 HD Remaster,€29.99,€14.99,€15.00,,
Final Fantasy XV: Royal Edition,€34.99,€0.00,€34.99,,
First Class Trouble,€19.99,€0.00,€19.99,,
Five Dates,€11.66,€5.83,€5.83,,
Flashback,€19.99,€0.99,€19.00,,
Flockers,€24.99,€4.99,€20.00,,
flOw,€4.99,€1.99,€3.00,PS3 and VITA,
Flower,€7.99,€1.99,€6.00,PS3 and VITA,
forma.8,€9.99,€2.99,€7.00,VITA,
Formula Retro Racing,€5.99,€3.59,€2.40,,
Fortnite,€0.00,€0.00,€0.00,,
Futuridium,€9.99,€2.99,€7.00,VITA,
Game Of Thrones TTG,€14.99,€14.99,€0.00,,
Genshin Impact,€0.00,€0.00,€0.00,,
Geometry Wars 3: Dimensions Evolved,€14.99,€3.99,€11.00,,
Ghost Blade HD,€8.99,€3.99,€5.00,,
Ghost of Tsushima,€69.99,€49.69,€20.30,,
Ghostrunner,€29.99,€0.00,€29.99,,
Ghostwire: Tokyo,€69.99,€34.99,€35.00,,
Goat Simulator,€31.95,€18.55,€13.40,,
God of War,€19.99,€0.00,€19.99,,
God of War III Remastered,€19.99,€9.99,€10.00,,
Godfall,€14.99,€0.00,€14.99,,
Grand Ages: Medieval,€39.99,€3.99,€36.00,,
Grand Theft Auto III,€10.99,€5.99,€5.00,,
Grand Theft Auto V,€109.98,€34.98,€75.00,PS3,
Grand Theft Auto: San Andreas,€12.00,€7.00,€5.00,,
Grand Theft Auto: Vice City,€12.00,€7.00,€5.00,,
Grim Fandango Remastered,€14.99,€3.99,€11.00,VITA,
Hatoful Boyfriend,€9.99,€2.99,€7.00,VITA,
Heart&Slash,€19.99,€3.99,€16.00,,
Heavy Rain,€22.99,€8.99,€14.00,PS3,
Hell Let Loose,€39.99,€0.00,€39.99,,
Helldivers,€29.99,€29.99,€0.00,PS3 and VITA,
Hitman 2,€69.99,€0.00,€69.99,,
Hohokum,€12.99,€3.99,€9.00,PS3 and VITA,
Hollow Knight: Voidheart Edition,€14.49,€0.00,€14.49,,
Home,€4.99,€1.99,€3.00,VITA,
HoPiKo,€6.99,€1.99,€5.00,,
Horizon Zero Dawn,€34.98,€27.98,€7.00,,
Hotline Miami,€0.00,€0.00,€0.00,PS3 and VITA,
I am Bread,€12.99,€2.59,€10.40,,
inFamous First Light,€14.99,€7.99,€7.00,,
inFamous Second Son,€14.99,€6.99,€8.00,,
Infliction: Extended Cut,€17.99,€8.99,€9.00,,
Injustice: Gods Among Us,€59.99,€9.59,€50.40,,
In Rays of the Light,€7.99,€5.59,€2.40,,
It Takes Two,€39.99,€19.99,€20.00,,
Jak 3,€26.98,€26.98,€0.00,PS3 and VITA,
Jak and Daxter: The Precursor Legacy,€26.98,€26.98,€0.00,PS3 and VITA,
Jak II,€24.97,€24.97,€0.00,PS3 and VITA,
Jak X,€9.99,€9.99,€0.00,,
Jazzpunk: Director's Cut,€17.99,€4.99,€13.00,,
Jetpack Joyride,€5.58,€3.98,€1.60,VITA,
Journey,€14.99,€14.99,€0.00,PS3,
Kandagawa Jet Girls,€39.99,€14.79,€25.20,,
Katamari Damacy: Reroll,€49.98,€40.98,€9.00,VITA,
Kena: Bridge of Spirits,€39.99,€0.00,€39.99,,
Kerbal Space Program,€39.99,€19.99,€20.00,,
Kingdom Hearts HD 1.5 & 2.5,€36.99,€12.10,€24.89,,
Kingdom Hearts HD 2.8 Final Chapter Prologue,€36.99,€12.10,€24.89,,
Kingdom Hearts III,€35.99,€12.09,€23.90,,
Kingdoms of Amalur: Re-Reckoning,€39.99,€0.00,€39.99,,
Knack,€19.99,€7.99,€12.00,,
Knack 2,€39.99,€13.99,€26.00,,
Knockout City,€19.99,€0.00,€19.99,,
LA Cops,€13.99,€2.99,€11.00,,
LEGO City Undercover,€59.99,€16.99,€43.00,,
LEGO DC Super-Villains,€59.99,€0.00,€59.99,,
LEGO Harry Potter Collection,€39.99,€19.99,€20.00,VITA,
LEGO Marvel,€39.99,€9.99,€30.00,,
Leisure Suit Larry: Wet Dreams Don't Dry,€39.99,€7.99,€32.00,,
Leisure Suit Larry: Wet Dreams Dry Twice,€39.99,€11.99,€28.00,,
Lichtspeer,€9.99,€5.99,€4.00,VITA,
Life Is Strange,€16.99,€5.99,€11.00,PS3,
LittleBigPlanet 3,€19.99,€9.99,€10.00,,
LocoRoco,€14.99,€14.99,€0.00,,
Lovers In A Dangerous Spacetime,€14.99,€4.99,€10.00,,
LUMO,€17.99,€9.99,€8.00,VITA,
Mafia: Definitive Edition,€39.99,€29.99,€10.00,,
Mafia III,€39.99,€9.99,€30.00,,
Maneater,€39.99,€19.99,€20.00,,
Manhunt,€13.99,€5.99,€8.00,,
Manual Samuel,€9.99,€4.99,€5.00,,
Maquette,€17.99,€14.39,€3.60,,
Marvel's Guardians Of The Galaxy TTG,€14.99,€14.99,€0.00,,
Marvel's Spider-Man,€79.99,€0.00,€79.99,,
Max Payne,€13.99,€5.99,€8.00,,
MediEvil,€29.99,€29.99,€0.00,,
Mega Man Legacy Collection,€14.99,€7.99,€7.00,,
Mega Man Legacy Collection 2,€14.99,€7.99,€7.00,,
Mega Man X Legacy Collection,€19.99,€11.99,€8.00,,
Mega Man X Legacy Collection 2,€19.99,€11.99,€8.00,,
Metal Gear Solid V: The Phantom Pain,€29.99,€7.49,€22.50,,
Metro Exodus,€39.99,€9.99,€30.00,,
Metro Redux,€29.99,€4.49,€25.50,,
Micro Machines World Series,€39.99,€26.99,€13.00,,
Minutes,€4.49,€3.49,€1.00,VITA,
Monopoly Family Fun Pack,€29.99,€19.99,€10.00,,
Monster Hunter World: Iceborne,€19.99,€0.00,€19.99,,
Mortal Kombat X,€19.99,€0.00,€19.99,,
Mortal Shell,€29.99,€0.00,€29.99,,
Mother Russia Bleeds,€12.99,€4.49,€8.50,,
Night Book,€11.67,€5.83,€5.84,,
Ninja Senki DX,€5.99,€1.99,€4.00,VITA,
Nitroplus Blasterz: Heroines Infinite Duel,€19.99,€14.99,€5.00,,
No Man's Sky,€49.99,€24.99,€25.00,,
Octodad: Dadliest Catch,€13.99,€7.00,€6.99,VITA,
Oddworld: New 'n' Tasty,€23.58,€20.98,€2.60,PS3 and VITA,
Oddworld: Soulstorm,€49.99,€49.99,€0.00,,
OlliOlli: Epic Combo Edition,€24.99,€9.99,€15.00,VITA,
OlliOlli 2,€12.99,€6.49,€6.50,VITA,
One Escape,€4.99,€3.49,€1.50,,
One Piece Unlimited World Red,€79.98,€18.98,€61.00,VITA,
Outbreak: Epidemic,€14.99,€8.24,€6.75,,
Outlast,€18.99,€3.79,€15.20,,
Overcooked: All You Can Eat Edition,€128.44,€94.85,€33.59,,
Ovivo,€6.99,€2.79,€4.20,,
Oxenfree,€9.99,€4.99,€5.00,,
Pac-Man 256,€4.99,€4.99,€0.00,,
PaRappa The Rapper Remastered,€14.99,€14.99,€0.00,,
PaRappa The Rapper 2,€9.99,€5.99,€4.00,,
Party Hard,€12.99,€4.99,€8.00,,
Persona 5,€69.99,€34.99,€35.00,,
Persona 5 Strikers,€59.99,€0.00,€59.99,,
PGA Tour 2K21,€59.99,€0.00,€59.99,,
Pic-A-Pix Color,€7.99,€3.99,€4.00,VITA,
PixelJunk Shooter Ultimate,€11.99,€2.99,€9.00,VITA,
Planet Coaster,€44.99,€0.00,€44.99,,
Plants vs Zombies: Battle for Neighborville,€39.99,€24.99,€15.00,,
Poltergeist: A Pixelated Horror,€7.99,€2.99,€5.00,VITA,
Polybius,€16.99,€4.99,€12.00,VR,
PONG Quest,€17.99,€8.99,€9.00,,
Postal Redux,€9.99,€3.49,€6.50,,
Psychonauts,€10.99,€7.99,€3.00,,
Psychonauts 2,€59.99,€41.99,€18.00,,
Pumped BMX+,€9.99,€2.99,€7.00,PS3 and VITA,
Putty Squad,€24.99,€6.99,€18.00,,
Quake,€9.99,€4.99,€5.00,,
Quest Of Dungeons,€8.99,€3.99,€5.00,,
Rally Copters,€10.99,€10.99,€0.00,VITA,
Ratchet & Clank,€39.99,€16.49,€23.50,,
Ratchet & Clank: Rift Apart,€79.99,€0.00,€79.99,,
Rayman Legends,€39.98,€26.99,€12.99,PS3 and VITA,
Red Dead Redemption 2,€69.99,€34.99,€35.00,,
Red Dead Revolver,€13.99,€5.99,€8.00,,
Resident Evil: Re:Verse,€0.00,€0.00,€0.00,,
Resident Evil: Resistance,€0.00,€0.00,€0.00,,
Resident Evil 0,€19.99,€4.99,€15.00,,
Resident Evil,€19.99,€4.99,€15.00,,
Resident Evil 2 Remake,€59.99,€59.99,€0.00,,
Resident Evil 3 Remake,€59.99,€19.79,€40.20,,
Resident Evil 4,€19.99,€7.99,€12.00,,
Resident Evil 5,€19.99,€7.99,€12.00,,
Resident Evil 6,€19.99,€7.99,€12.00,,
Resident Evil 7,€49.98,€26.98,€23.00,VR,
Resident Evil Revelations,€19.99,€7.49,€12.50,,
Resident Evil Revelations 2,€19.99,€7.49,€12.50,,
Resident Evil Village,€69.99,€39.89,€30.10,,
RESOGUN,€12.99,€3.99,€9.00,PS3 and VITA,
Retro City Rampage DX,€9.99,€4.99,€5.00,PS3 and VITA,
Riptide GP: Renegade,€9.99,€3.99,€6.00,,
Rise Of The Tomb Raider,€29.99,€14.99,€15.00,VR,
Risk Of Rain,€8.99,€3.99,€5.00,VITA,
Road Redemption,€19.99,€7.99,€12.00,,
Rock Boshers DX: Director's Cut,€5.49,€5.49,€0.00,VITA,
Rocket League,€34.58,€26.58,€8.00,,
Rocketbirds 2: Evolution,€12.99,€12.99,€0.00,VITA,
Rogue Company,€0.00,€0.00,€0.00,,
Rogue Legacy,€12.99,€4.99,€8.00,PS3 and VITA,
Rollercoaster Dreams,€20.99,€9.99,€11.00,VR,
Saints Row The Third: Remastered,€49.98,€39.98,€10.00,PS3,
Saints Row IV: Re-Elected,€34.98,€7.49,€27.49,PS3,
Saints Row IV: Gat out of Hell,€19.99,€7.99,€12.00,,
Sekiro: Shadows Die Twice,€69.99,€45.49,€24.50,,
Shantae and The Pirate's Curse,€19.99,€19.99,€0.00,PS5 TBC,
Shing,€19.99,€4.99,€15.00,,
ShredIt,€8.99,€5.49,€3.50,,
Sir Lovelot,€9.99,€6.99,€3.00,,
Slain,€14.99,€4.99,€10.00,VITA,
Slay the Spire,€24.99,€0.00,€24.99,,
Sleeping Dogs,€29.99,€4.49,€25.50,,
Slender: The Arrival,€9.99,€1.49,€8.50,,
Sniper Elite V2 Remastered,€34.99,€3.49,€31.50,,
Sonic Mania,€24.98,€24.98,€0.00,,
SoulCalibur VI,€99.99,€99.99,€0.00,,
Sound Shapes,€14.99,€3.99,€11.00,PS3 and VITA,
South Park: The Fractured But Whole,€96.94,€57.94,€39.00,,
South Park: The Stick of Truth,€0.00,€0.00,€0.00,,
Spacebase Startopia,€49.99,€29.99,€20.00,,
Spirit of the North: Enhanced Edition,€24.99,€12.49,€12.50,,
SpongeBob Squarepants: Battle for Bikini Bottom - Rehydrated,€29.99,€17.99,€12.00,,
Spy Chameleon,€4.99,€1.99,€3.00,VITA,
Spyro Reignited Trilogy,€39.99,€39.99,€0.00,,
Star Wars Episode I: Racer,€14.99,€9.74,€5.25,,
Star Wars Jedi: Fallen Order,€49.99,€17.49,€32.50,,
Stealth Inc: A Clone In The Dark,€8.49,€2.49,€6.00,PS3 and VITA,
Stealth Inc 2: A Game Of Clones,€8.49,€2.49,€6.00,PS3 and VITA,
SteamWorld Dig,€8.99,€1.99,€7.00,VITA,
SteamWorld Dig 2,€19.99,€4.99,€15.00,,
SteamWorld Heist,€14.99,€9.99,€5.00,VITA,
Stikbold! A Dodgeball Adventure,€9.99,€4.49,€5.50,,
Stranded Deep,€19.99,€0.00,€19.99,,
Street Fighter 30th Anniversary Collection,€39.99,€14.79,€25.20,,
Subnautica,€29.99,€0.00,€29.99,,
Sumatra: Fate of Yandi,€5.99,€4.19,€1.80,,
Super Kickers League Ultimate,€19.99,€5.99,€14.00,,
Super Meat Boy!,€15.99,€5.59,€10.40,VITA,
Super Stardust Ultra,€32.98,€17.98,€15.00,VR,
Superbeat: Xonic EX,€49.98,€12.98,€37.00,VITA,
Supermarket Shriek,€19.99,€11.99,€8.00,,
Surgeon Simulator,€30.98,€24.98,€6.00,VR,
Switch Galaxy Ultra,€10.99,€3.99,€7.00,VITA,
Syrup and the Ultimate Sweet,€4.99,€4.99,€0.00,VITA,
Table Top Racing: World Tour,€12.98,€12.98,€0.00,,
Tales From The Borderlands TTG,€29.98,€29.98,€0.00,PS3,
Team Sonic Racing,€39.99,€0.00,€39.99,,
Tearaway Unfolded,€19.99,€11.99,€8.00,,
Tekken 7,€74.98,€29.98,€45.00,VR,
Tembo The Badass Elephant,€12.99,€3.49,€9.50,,
Tennis in the Face,€9.98,€9.98,€0.00,PS3 and VITA,
Tennis World Tour 2,€49.99,€0.00,€49.99,,
Terminator: Resistance Enhanced,€44.99,€26.99,€18.00,,
Terraria,€33.98,€15.49,€18.49,,
Tethered,€28.49,€28.49,€0.00,VR,
Tetris Ultimate,€39.99,€5.99,€34.00,,
That's You,€0.00,€0.00,€0.00,,
The Binding of Isaac: Rebirth,€14.99,€0.00,€14.99,VITA,
The Bug Butcher,€9.99,€4.99,€5.00,,
The Complex,€11.66,€5.83,€5.83,,
The Crew,€24.99,€11.99,€13.00,,
The Darkside Detective,€12.99,€9.74,€3.25,,
The Disney Afternoon Collection,€19.99,€4.99,€15.00,,
The Evil Within,€19.99,€5.99,€14.00,,
The Flame in the Flood,€14.99,€4.49,€10.50,,
The Last Guardian,€34.99,€0.00,€34.99,,
The Last Of Us: Left Behind Remastered,€9.99,€4.99,€5.00,,
The Last Of Us Remastered,€39.99,€39.99,€0.00,,
